,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
1197,293046726,29 08 10:33,40000,Адмиралтейский,40000,1.0,1 месяц,от года,30,2016
1198,293089636,28 08 17:20,40000,Невский,40000,0.5,1 месяц,от года,38,2023
1199,282972970,01 10 08:54,44000,Адмиралтейский,38000,0.4,1 месяц,несколько месяцев,34,1910
1200,292256152,30 09 17:49,42000,Московский,42000,0.7,1 месяц,несколько месяцев,50,1965
1201,292256629,30 09 17:24,42000,Фрунзенский,19000,0.7,1 месяц,от года,60,1883
1202,293124665,29 08 13:37,40000,Выборгский,35000,0.5,1 месяц,несколько месяцев,45.1,
1203,290706249,28 08 17:18,40000,Центральный,40000,1.0,,от года,40,2015
1204,292410928,28 08 16:34,40000,Красносельский,35000,0.5,,от года,39.4,2014
1205,292881947,28 08 16:18,40000,Адмиралтейский,40000,0.5,1 месяц,несколько месяцев,39,1852
1206,292541289,24 08 12:54,40000,Приморский,45000,1.0,2 месяца,от года,45.3,2008
1207,286749499,9 08 07:26,40000,Калининский,35000,0.5,1 месяц,от года,36,2018
1208,292504858,22 08 11:09,37000,Приморский,35000,0.5,1 месяц,несколько месяцев,32.7,
1209,292391321,29 08 17:29,44999,Приморский,22000,0,,от года,41.81,2020
1210,262374451,27 08 16:27,41500,Центральный,40000,0.5,1 месяц,от года,38,1908
1211,271873392,29 08 11:53,40000,Кировский,40000,1.0,1 месяц,от года,68,2010
1212,291314453,16 08 12:28,42000,Центральный,42000,0,1 месяц,несколько месяцев,19,1906
1213,293181276,01 10 12:05,35000,Калининский,20000,0.5,1 месяц,от года,76,1976
1214,292158406,01 10 08:53,45000,Московский,38000,0.4,1 месяц,несколько месяцев,30,
1215,228801771,30 09 15:15,45000,Центральный,40000,0,1 месяц,несколько месяцев,35,1902
1216,293137967,29 08 17:09,45000,Центральный,45000,0.7,1 месяц,от года,55,1826
1217,292969752,29 08 16:54,45000,Калининский,45000,1.0,,от года,51,1977
1218,292969530,29 08 16:53,45000,Приморский,45000,0.7,,от года,42,2005
1219,293040510,28 08 20:21,40000,Невский,40000,0.5,1 месяц,от года,60,2020
1220,293085808,28 08 15:53,40000,Красногвардейский,40000,0.5,,от года,44.6,2006
1221,278902289,28 08 13:27,45000,Невский,45000,0.5,1 месяц,несколько месяцев,70,2013
1222,291245966,28 08 13:24,45000,Приморский,45000,0.5,1 месяц,несколько месяцев,60,2015
1223,263234629,28 08 13:23,45000,Выборгский,45000,0.7,1 месяц,несколько месяцев,75,2009
1224,291330587,28 08 13:17,45000,Приморский,45000,0.7,1 месяц,несколько месяцев,65,2007
1225,292048428,28 08 11:01,45000,Приморский,45000,0.5,1 месяц,от года,62,1962
1226,278476132,28 08 06:40,45000,Василеостровский,30000,0,1 месяц,несколько месяцев,26,2021
1227,293055881,28 08 01:52,45000,Василеостровский,22500,0.59,1 месяц,от года,21,
1228,292404775,27 08 22:33,45000,Василеостровский,45000,0.5,1 месяц,от года,27.15,
1229,293043450,27 08 19:02,45000,Калининский,45000,0.5,1 месяц,от года,38.7,2019
1230,242946272,27 08 18:10,45000,Василеостровский,45000,0.5,1 месяц,от года,60,2018
1231,293026849,27 08 12:27,45000,Московский,45000,0.7,1 месяц,от года,38,
1232,292976509,27 08 09:51,40000,Приморский,40000,0.5,1 месяц,от года,55,2020
1233,228800596,26 08 16:05,45000,Центральный,45000,0,1 месяц,несколько месяцев,30,1902
1234,292696766,26 08 14:36,45000,Красногвардейский,45000,0.5,1 месяц,от года,48,2003
1235,292936234,26 08 13:54,45000,Приморский,45000,0.5,,от года,39,2021
1236,292939742,26 08 08:38,40000,Пушкинский,40000,0.5,1 месяц,от года,81,2013
1237,292655126,25 08 15:03,40000,Центральный,40000,0.5,1 месяц,от года,21,2020
1238,259491135,25 08 02:47,40000,Фрунзенский,40000,0.5,1 месяц,несколько месяцев,67,2006
1239,292819488,22 08 05:14,40000,Центральный,40000,0.5,1 месяц,от года,55,
1240,292349032,21 08 18:02,40000,Приморский,20000,0.1,1 месяц,от года,25,
1241,270784511,21 08 14:40,40000,Центральный,40000,0.5,1 месяц,от года,22,2020
1242,292082239,21 08 10:24,42000,Фрунзенский,42000,0,1 месяц,от года,25,2022
